ID,insect_family,insect_taxon,plant_family,plant_taxon,plant_organ,geographic_location,latitude,longitude,insect_lifestage_when_on_host,insect_taxon_canonical_name,insect_taxon_rank,insect_taxon_hierarchy,name_matched,insect_family_canonical_name
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Scolytinae,Dendroctonus brevicomis,Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,early larval stages,"Dendroctonus brevicomis LeConte, 1876",SPECIES,Animalia > Arthropoda > Insecta > Coleoptera > Curculionidae > Dendroctonus,Pinus ponderosa,Pinaceae
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Scolytinae,Dendroctonus brevicomis,Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,larva,"Dendroctonus brevicomis LeConte, 1876",SPECIES,Animalia > Arthropoda > Insecta > Coleoptera > Curculionidae > Dendroctonus,Pinus ponderosa,Pinaceae
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Scolytinae,Dendroctonus brevicomis,Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,pupa,"Dendroctonus brevicomis LeConte, 1876",SPECIES,Animalia > Arthropoda > Insecta > Coleoptera > Curculionidae > Dendroctonus,Pinus ponderosa,Pinaceae
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Scolytinae,Dendroctonus brevicomis,Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,adult,"Dendroctonus brevicomis LeConte, 1876",SPECIES,Animalia > Arthropoda > Insecta > Coleoptera > Curculionidae > Dendroctonus,Pinus ponderosa,Pinaceae
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Cleridae,Enoclerus lecontei,Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,larva,Enoclerus lecontei,species,Animalia > Arthropoda > Hexapoda > Insecta > Pterygota > Coleoptera > Polyphaga > Cucujiformia > Cleroidea > Cleridae > Clerinae > Enoclerus,Pinus ponderosa,Pinaceae
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Trogiidae,Ternnochila vivirescens var. chlorida,Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,larva,Temnoscheila chlorodia,species,Animalia > Arthropoda > Hexapoda > Insecta > Pterygota > Coleoptera > Polyphaga > Cucujiformia > Cleroidea > Trogossitidae > Trogossitinae > Temnoscheila,Pinus ponderosa,Pinaceae
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Colydiidae,Aulonium longipes,Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,larva,"Aulonium Erichson, 1845",GENUS,Animalia > Arthropoda > Insecta > Coleoptera > Zopheridae > Aulonium,Pinus ponderosa,Pinaceae
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Cleridae,Enoclerus sphegeus,Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,larva,Enoclerus sphegeus,species,Animalia > Arthropoda > Hexapoda > Insecta > Pterygota > Coleoptera > Polyphaga > Cucujiformia > Cleroidea > Cleridae > Clerinae > Enoclerus,Pinus ponderosa,Pinaceae
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Roptroceridae,Roptrocerus xylophagorum,Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,larva,"Roptrocerus xylophagorum (Ratzeburg, 1844)",SPECIES,Animalia > Arthropoda > Insecta > Hymenoptera > Pteromalidae > Roptrocerus,Pinus ponderosa,Pinaceae
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Roptroceridae,Roptrocerus xylophagorum,Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,pupa,"Roptrocerus xylophagorum (Ratzeburg, 1844)",SPECIES,Animalia > Arthropoda > Insecta > Hymenoptera > Pteromalidae > Roptrocerus,Pinus ponderosa,Pinaceae
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Chalcidoidea,Cecidostiba burkei,Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,larva,"Cecidostiba burkei Crawford, 1912",SPECIES,Animalia > Arthropoda > Insecta > Hymenoptera > Pteromalidae > Dinotiscus,Pinus ponderosa,Pinaceae
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Chalcidoidea,Cecidostiba burkei,Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,pupa,"Cecidostiba burkei Crawford, 1912",SPECIES,Animalia > Arthropoda > Insecta > Hymenoptera > Pteromalidae > Dinotiscus,Pinus ponderosa,Pinaceae
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Eurytomidae,Eurytoma tomici,Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,larva,"Eurytoma tomici Ashmead, 1894",SPECIES,Animalia > Arthropoda > Insecta > Hymenoptera > Eurytomidae > Eurytoma,Pinus ponderosa,Pinaceae
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Eurytomidae,Eurytoma tomici,Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,pupa,"Eurytoma tomici Ashmead, 1894",SPECIES,Animalia > Arthropoda > Insecta > Hymenoptera > Eurytomidae > Eurytoma,Pinus ponderosa,Pinaceae
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Braconidae,Coeloides brunneri,Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,larva,"Coeloides brunneri Viereck, 1911",SPECIES,Animalia > Arthropoda > Insecta > Hymenoptera > Braconidae > Coeloides,Pinus ponderosa,Pinaceae
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Braconidae,Coeloides brunneri,Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,pupa,"Coeloides brunneri Viereck, 1911",SPECIES,Animalia > Arthropoda > Insecta > Hymenoptera > Braconidae > Coeloides,Pinus ponderosa,Pinaceae
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Buprestidae,Buprestidae borers (flathead),Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,larva,Buprestidae,FAMILY,Animalia > Arthropoda > Insecta > Coleoptera > Buprestidae,Pinus ponderosa,Pinaceae
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Cerambycidae,Cerambycidae borers (round-headed),Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,larva,Cerambycidae,FAMILY,Animalia > Arthropoda > Insecta > Coleoptera > Cerambycidae,Pinus ponderosa,Pinaceae
